performance,points
477.00,1200
477.20,1199
477.40,1198
477.60,1197
477.80,1196
478.00,1195
478.20,1194
478.40,1193
478.60,1192
478.80,1191
479.00,1190
479.20,1189
479.40,1188
479.60,1187
479.80,1186
480.00,1185
480.20,1184
480.40,1183
480.60,1182
480.80,1181
481.00,1180
481.20,1179
481.40,1178
481.60,1177
481.80,1176
482.00,1175
482.20,1174
482.40,1173
482.60,1172
482.80,1171
483.00,1170
483.20,1169
483.40,1168
483.60,1167
483.80,1166
484.00,1165
484.20,1164
484.40,1163
484.60,1162
484.80,1161
485.00,1160
485.20,1159
485.40,1158
485.60,1157
485.80,1156
486.00,1155
486.20,1154
486.40,1153
486.60,1152
486.80,1151
487.00,1150
487.20,1149
487.40,1148
487.60,1147
487.80,1146
488.00,1145
488.20,1144
488.40,1143
488.60,1142
488.80,1141
489.00,1140
489.40,1139
489.60,1138
489.80,1137
490.00,1136
490.20,1135
490.40,1134
490.60,1133
490.80,1132
491.00,1131
491.20,1130
491.40,1129
491.60,1128
491.80,1127
492.00,1126
492.20,1125
492.40,1124
492.60,1123
492.80,1122
493.00,1121
493.20,1120
493.40,1119
493.60,1118
494.00,1117
494.20,1116
494.40,1115
494.60,1114
494.80,1113
495.00,1112
495.20,1111
495.40,1110
495.60,1109
495.80,1108
496.00,1107
496.20,1106
496.40,1105
496.60,1104
496.80,1103
497.00,1102
497.20,1101
497.40,1100
497.60,1099
497.80,1098
498.00,1097
498.20,1096
498.40,1095
498.80,1094
499.00,1093
499.20,1092
499.40,1091
499.60,1090
499.80,1089
500.00,1088
500.20,1087
500.40,1086
500.60,1085
500.80,1084
501.00,1083
501.40,1082
501.60,1081
501.80,1080
502.00,1079
502.20,1078
502.40,1077
502.60,1076
502.80,1075
503.00,1074
503.20,1073
503.40,1072
503.80,1071
504.00,1070
504.20,1069
504.40,1068
504.60,1067
504.80,1066
505.00,1065
505.20,1064
505.40,1063
505.60,1062
506.00,1061
506.20,1060
506.40,1059
506.60,1058
506.80,1057
507.00,1056
507.20,1055
507.40,1054
507.60,1053
508.00,1052
508.20,1051
508.40,1050
508.60,1049
508.80,1048
509.00,1047
509.20,1046
509.40,1045
509.80,1044
510.00,1043
510.20,1042
510.40,1041
510.60,1040
510.80,1039
511.00,1038
511.20,1037
511.60,1036
511.80,1035
512.00,1034
512.20,1033
512.40,1032
512.60,1031
512.80,1030
513.20,1029
513.40,1028
513.60,1027
513.80,1026
514.00,1025
514.20,1024
514.40,1023
514.60,1022
515.00,1021
515.20,1020
515.40,1019
515.60,1018
515.80,1017
516.00,1016
516.40,1015
516.60,1014
516.80,1013
517.00,1012
517.20,1011
517.40,1010
517.80,1009
518.00,1008
518.20,1007
518.40,1006
518.60,1005
518.80,1004
519.00,1003
519.40,1002
519.60,1001
519.80,1000
520.00,999
520.20,998
520.40,997
520.80,996
521.00,995
521.20,994
521.40,993
521.60,992
522.00,991
522.20,990
522.40,989
522.60,988
522.80,987
523.00,986
523.40,985
